Estimate Status,Year,Wave,Fishing Mode,Fishing Area,Angler Trips,PSE
FINAL,2012,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,4998,35.7
FINAL,2012,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),186781,13.9
FINAL,2012,JULY/AUGUST,SHORE,INLAND,43325,19
FINAL,2012,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),18657,21.5
FINAL,2012,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),41441,20.3
FINAL,2012,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,2153,34.2
FINAL,2012,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),230284,24.1
FINAL,2012,SEPTEMBER/OCTOBER,SHORE,INLAND,13957,36.3
FINAL,2012,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),9864,32.4
FINAL,2012,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),16058,31.8
FINAL,2012,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,1032,44.1
FINAL,2012,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),135403,21.5
FINAL,2012,NOVEMBER/DECEMBER,SHORE,INLAND,1842,71.9
FINAL,2012,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),12139,29.2
FINAL,2012,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),34227,27.5
FINAL,2012,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,199,99.8
FINAL,2013,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),127675,23.8
FINAL,2013,JANUARY/FEBRUARY,SHORE,INLAND,9342,36
FINAL,2013,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),17403,37.8
FINAL,2013,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),18319,37.7
FINAL,2013,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,2977,44.5
FINAL,2013,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),146904,20.4
FINAL,2013,MARCH/APRIL,SHORE,INLAND,15321,30.4
FINAL,2013,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),18366,29.8
FINAL,2013,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),22465,29.5
FINAL,2013,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,1968,39.6
FINAL,2013,MAY/JUNE,SHORE,OCEAN (<= 3 MI),217914,21.1
FINAL,2013,MAY/JUNE,SHORE,INLAND,43162,25.2
FINAL,2013,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),12746,23.2
FINAL,2013,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),34885,21.4
FINAL,2013,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,2013,34.8
FINAL,2013,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),271928,16.4
FINAL,2013,JULY/AUGUST,SHORE,INLAND,11870,33.4
FINAL,2013,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),20927,26.3
FINAL,2013,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),39292,25.4
FINAL,2013,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,6620,30
FINAL,2013,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),194052,16.9
FINAL,2013,SEPTEMBER/OCTOBER,SHORE,INLAND,37732,22.6
FINAL,2013,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),21488,33.5
FINAL,2013,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),53719,32.4
FINAL,2013,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,3306,41.8
FINAL,2013,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),127048,19.9
FINAL,2013,NOVEMBER/DECEMBER,SHORE,INLAND,12790,31.2
FINAL,2013,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),7139,36.9
FINAL,2013,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),11673,36.3
FINAL,2013,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,1833,41.3
FINAL,2014,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),133987,22.5
FINAL,2014,JANUARY/FEBRUARY,SHORE,INLAND,5390,42.5
FINAL,2014,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),25044,26.2
FINAL,2014,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),43478,25.1
FINAL,2014,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,3130,40
FINAL,2014,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),141211,25.3
FINAL,2014,MARCH/APRIL,SHORE,INLAND,8253,40.3
FINAL,2014,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),12030,24.7
FINAL,2014,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),17811,23.9
FINAL,2014,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,2656,32.3
FINAL,2014,MAY/JUNE,SHORE,OCEAN (<= 3 MI),166930,21.1
FINAL,2014,MAY/JUNE,SHORE,INLAND,44419,23.6
FINAL,2014,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),21214,38.9
FINAL,2014,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),43663,38.4
FINAL,2014,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,3089,44.7
FINAL,2014,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),163541,19.2
FINAL,2014,JULY/AUGUST,SHORE,INLAND,54514,21
FINAL,2014,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),6088,26.4
FINAL,2014,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),14245,25.4
FINAL,2014,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,1241,32.5
FINAL,2014,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),130199,16.2
FINAL,2014,SEPTEMBER/OCTOBER,SHORE,INLAND,58914,17.7
FINAL,2014,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),20797,33
FINAL,2014,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),27222,32.8
FINAL,2014,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,2536,40.2
FINAL,2014,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),91675,20.5
FINAL,2014,NOVEMBER/DECEMBER,SHORE,INLAND,51567,21.6
FINAL,2014,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),30730,39.2
FINAL,2014,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),41254,38.8
FINAL,2014,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,7577,43.5
FINAL,2015,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),119940,28.3
FINAL,2015,JANUARY/FEBRUARY,SHORE,INLAND,46221,29.5
FINAL,2015,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),18364,25.6
FINAL,2015,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),19482,25.5
FINAL,2015,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,2076,36
FINAL,2015,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),131837,18.6
FINAL,2015,MARCH/APRIL,SHORE,INLAND,52472,20.5
FINAL,2015,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),5510,30
FINAL,2015,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),4570,30.2
FINAL,2015,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,769,36.6
FINAL,2015,MAY/JUNE,SHORE,OCEAN (<= 3 MI),158980,23.2
FINAL,2015,MAY/JUNE,SHORE,INLAND,57669,24.9
FINAL,2015,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),27989,27.1
FINAL,2015,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),37999,26.8
FINAL,2015,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,3522,34.1
FINAL,2015,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),110647,24.3
FINAL,2015,JULY/AUGUST,SHORE,INLAND,63380,25
FINAL,2015,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),11880,38.4
FINAL,2015,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),29423,37.6
FINAL,2015,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,2210,43.8
FINAL,2015,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),165587,25.7
FINAL,2015,SEPTEMBER/OCTOBER,SHORE,INLAND,101775,26.2
FINAL,2015,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),27699,40.6
FINAL,2015,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),42081,40.2
FINAL,2015,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,4261,45.7
FINAL,2015,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),107506,24.6
FINAL,2015,NOVEMBER/DECEMBER,SHORE,INLAND,41844,26.3
FINAL,2015,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),11592,30.4
FINAL,2015,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),19272,29.7
FINAL,2015,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,4492,33.3
FINAL,2016,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),107420,22.5
FINAL,2016,JANUARY/FEBRUARY,SHORE,INLAND,42606,23.8
FINAL,2016,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),10202,32.6
FINAL,2016,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),14563,32.3
FINAL,2016,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,2959,35.1
FINAL,2016,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),88409,20.6
FINAL,2016,MARCH/APRIL,SHORE,INLAND,37621,21.9
FINAL,2016,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),12843,51.4
FINAL,2016,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),17123,51.3
FINAL,2016,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,3211,53.2
FINAL,2016,MAY/JUNE,SHORE,OCEAN (<= 3 MI),82115,29.8
FINAL,2016,MAY/JUNE,SHORE,INLAND,34729,30.6
FINAL,2016,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),20181,48.6
FINAL,2016,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),33893,48.4
FINAL,2016,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,3363,51.1
FINAL,2016,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),94739,34.5
FINAL,2016,JULY/AUGUST,SHORE,INLAND,39833,35.2
FINAL,2016,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),14727,29.4
FINAL,2016,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),30464,28.6
FINAL,2016,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,4620,32.6
FINAL,2016,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),91180,23.3
FINAL,2016,SEPTEMBER/OCTOBER,SHORE,INLAND,45183,24.2
FINAL,2016,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),14042,36.4
FINAL,2016,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),18354,36.2
FINAL,2016,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,3203,39.8
FINAL,2016,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),82276,24.4
FINAL,2016,NOVEMBER/DECEMBER,SHORE,INLAND,43441,25.8
FINAL,2016,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),8156,34.3
FINAL,2016,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),18664,32.9
FINAL,2016,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,4078,36.8
FINAL,2017,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),140279,24.3
FINAL,2017,JANUARY/FEBRUARY,SHORE,INLAND,52869,25.8
FINAL,2017,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),17882,50.3
FINAL,2017,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),29377,50
FINAL,2017,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,4470,52.9
FINAL,2017,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),95975,33.3
FINAL,2017,MARCH/APRIL,SHORE,INLAND,21653,36
FINAL,2017,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),14846,51
FINAL,2017,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),19485,50.8
FINAL,2017,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,2386,54.3
FINAL,2017,MAY/JUNE,SHORE,OCEAN (<= 3 MI),115687,16.5
FINAL,2017,MAY/JUNE,SHORE,INLAND,39366,20.1
FINAL,2017,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),18298,31.6
FINAL,2017,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),41171,30.2
FINAL,2017,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,4248,39.2
FINAL,2017,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),123933,23.5
FINAL,2017,JULY/AUGUST,SHORE,INLAND,56863,24.8
FINAL,2017,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),8705,27.1
FINAL,2017,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),19050,25.7
FINAL,2017,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,1388,38.1
FINAL,2017,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),253430,26.1
FINAL,2017,SEPTEMBER/OCTOBER,SHORE,INLAND,57667,29.5
FINAL,2017,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),16962,35.2
FINAL,2017,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),34431,34.2
FINAL,2017,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,4810,39.6
FINAL,2017,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),41665,25.8
FINAL,2017,NOVEMBER/DECEMBER,SHORE,INLAND,19631,27.7
FINAL,2017,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),8182,37.2
FINAL,2017,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),13091,36.4
FINAL,2017,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,2083,43
FINAL,2018,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),257275,20.5
FINAL,2018,JANUARY/FEBRUARY,SHORE,INLAND,112452,22.4
FINAL,2018,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),34704,31.5
FINAL,2018,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),31585,31.7
FINAL,2018,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,7019,37.4
FINAL,2018,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),322064,22.6
FINAL,2018,MARCH/APRIL,SHORE,INLAND,148102,24.4
FINAL,2018,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),52160,29.1
FINAL,2018,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),43978,29.3
FINAL,2018,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,10227,34.8
FINAL,2018,MAY/JUNE,SHORE,OCEAN (<= 3 MI),257184,18.2
FINAL,2018,MAY/JUNE,SHORE,INLAND,72933,26.4
FINAL,2018,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),27351,27.8
FINAL,2018,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),51387,25.3
FINAL,2018,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,10775,34.8
FINAL,2018,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),441370,21.8
FINAL,2018,JULY/AUGUST,SHORE,INLAND,227804,23.1
FINAL,2018,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),61197,24.5
FINAL,2018,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),114581,23.5
FINAL,2018,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,13672,30.8
FINAL,2018,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),325639,24.2
FINAL,2018,SEPTEMBER/OCTOBER,SHORE,INLAND,137537,25.8
FINAL,2018,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),25560,31.6
FINAL,2018,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),55317,30.4
FINAL,2018,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,5722,38.3
FINAL,2018,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),309394,18
FINAL,2018,NOVEMBER/DECEMBER,SHORE,INLAND,138535,20.4
FINAL,2018,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),48575,23.1
FINAL,2018,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),67257,22.4
FINAL,2018,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,9341,32.4
FINAL,2019,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),323604,18
FINAL,2019,JANUARY/FEBRUARY,SHORE,INLAND,101569,21.9
FINAL,2019,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),28332,33.9
FINAL,2019,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),59457,32.9
FINAL,2019,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,6784,39.4
FINAL,2019,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),304827,19.6
FINAL,2019,MARCH/APRIL,SHORE,INLAND,159188,22
FINAL,2019,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),35975,27.7
FINAL,2019,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),53746,27
FINAL,2019,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,9102,33.1
FINAL,2019,MAY/JUNE,SHORE,OCEAN (<= 3 MI),410085,18.7
FINAL,2019,MAY/JUNE,SHORE,INLAND,117167,22.1
FINAL,2019,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),34503,29.2
FINAL,2019,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),56976,28.8
FINAL,2019,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,4540,35.4
FINAL,2019,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),426969,14.8
FINAL,2019,JULY/AUGUST,SHORE,INLAND,70804,21.6
FINAL,2019,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),24782,22.5
FINAL,2019,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),73470,20.7
FINAL,2019,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,6706,28.4
FINAL,2019,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),392216,16.5
FINAL,2019,SEPTEMBER/OCTOBER,SHORE,INLAND,143813,19.6
FINAL,2019,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),37068,23.6
FINAL,2019,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),71015,22.5
FINAL,2019,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,8584,29.8
FINAL,2019,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),290614,18.1
FINAL,2019,NOVEMBER/DECEMBER,SHORE,INLAND,106137,21.7
FINAL,2019,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),40097,28.9
FINAL,2019,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),72629,27.5
FINAL,2019,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,8322,38.8
FINAL,2020,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),478188,15.3
FINAL,2020,JANUARY/FEBRUARY,SHORE,INLAND,120987,20.2
FINAL,2020,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),34679,30.4
FINAL,2020,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),69358,29.5
FINAL,2020,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,7018,36.8
FINAL,2020,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),257608,16.2
FINAL,2020,MARCH/APRIL,SHORE,INLAND,83484,18.9
FINAL,2020,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),27410,23.6
FINAL,2020,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),27897,23.6
FINAL,2020,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,4704,28.8
FINAL,2020,MAY/JUNE,SHORE,OCEAN (<= 3 MI),422781,13.2
FINAL,2020,MAY/JUNE,SHORE,INLAND,120545,16.6
FINAL,2020,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),36826,18.6
FINAL,2020,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),62305,18
FINAL,2020,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,6569,24.2
FINAL,2020,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),682877,12.7
FINAL,2020,JULY/AUGUST,SHORE,INLAND,12033,50.8
FINAL,2020,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),60872,24.7
FINAL,2020,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),105477,24
FINAL,2020,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,7871,34.1
FINAL,2020,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),420994,14.1
FINAL,2020,SEPTEMBER/OCTOBER,SHORE,INLAND,49529,26.1
FINAL,2020,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),50342,19.4
FINAL,2020,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),71426,18.8
FINAL,2020,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,6884,30
FINAL,2020,NOVEMBER/DECEMBER,SHORE,OCEAN (<= 3 MI),466204,14.3
FINAL,2020,NOVEMBER/DECEMBER,SHORE,INLAND,42706,30.8
FINAL,2020,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),77408,22
FINAL,2020,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),78131,22
FINAL,2020,NOVEMBER/DECEMBER,PRIVATE/RENTAL BOAT,INLAND,8681,34.5
FINAL,2021,JANUARY/FEBRUARY,SHORE,OCEAN (<= 3 MI),368544,10.1
FINAL,2021,JANUARY/FEBRUARY,SHORE,INLAND,36176,25.7
FINAL,2021,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),28113,17.2
FINAL,2021,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),45684,16.1
FINAL,2021,JANUARY/FEBRUARY,PRIVATE/RENTAL BOAT,INLAND,5136,26.8
FINAL,2021,MARCH/APRIL,SHORE,OCEAN (<= 3 MI),464500,14.5
FINAL,2021,MARCH/APRIL,SHORE,INLAND,37867,28.5
FINAL,2021,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),57937,27.5
FINAL,2021,MARCH/APRIL,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),82767,27.1
FINAL,2021,MARCH/APRIL,PRIVATE/RENTAL BOAT,INLAND,16002,31.5
FINAL,2021,MAY/JUNE,SHORE,OCEAN (<= 3 MI),432250,14.1
FINAL,2021,MAY/JUNE,SHORE,INLAND,132077,18.8
FINAL,2021,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),37827,19.5
FINAL,2021,MAY/JUNE,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),59934,18.9
FINAL,2021,MAY/JUNE,PRIVATE/RENTAL BOAT,INLAND,4667,28.8
FINAL,2021,JULY/AUGUST,SHORE,OCEAN (<= 3 MI),605363,12.8
FINAL,2021,JULY/AUGUST,SHORE,INLAND,22186,39
FINAL,2021,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),79456,22.6
FINAL,2021,JULY/AUGUST,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),89820,22.4
FINAL,2021,JULY/AUGUST,PRIVATE/RENTAL BOAT,INLAND,6909,33.6
FINAL,2021,SEPTEMBER/OCTOBER,SHORE,OCEAN (<= 3 MI),491959,17
FINAL,2021,SEPTEMBER/OCTOBER,SHORE,INLAND,106218,22.1
FINAL,2021,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),72445,25.7
FINAL,2021,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),93035,25.2
FINAL,2021,SEPTEMBER/OCTOBER,PRIVATE/RENTAL BOAT,INLAND,15252,32.1
